iter	RMSE
1036	10747.33902
1037	10747.01919
1038	10746.44421
1039	10740.01106
1040	10739.53883
1041	10730.69058
1042	10728.72453
1043	10727.22251
1044	10717.37432
1045	10714.65689
1046	10710.83945
1047	10703.88966
1048	10703.17421
1049	10701.57694
1050	10700.47109
1051	10694.36304
1052	10694.19719
1053	10688.73221
1054	10681.15708
1055	10677.97224
1056	10677.78637
1057	10672.03121
1058	10671.57561
1059	10666.02344
1060	10658.21226
1061	10648.39928
1062	10634.19682
1063	10629.41513
1064	10618.97636
1065	10612.74066
1066	10610.41008
1067	10606.04683
1068	10604.78866
1069	10601.92118
1070	10593.98736
1071	10590.48522
1072	10583.2941
1073	10582.23229
1074	10574.75198
1075	10569.10207
1076	10561.51956
1077	10550.31913
1078	10544.97401
1079	10538.84014
1080	10530.14176
1081	10522.72133
1082	10518.59828
1083	10517.93873
1084	10509.56209
1085	10503.39053
1086	10497.6616
1087	10488.64795
1088	10480.99401
1089	10470.1673
1090	10462.48965
1091	10453.37585
1092	10450.46779
1093	10447.30181
1094	10441.1342
1095	10438.6649
1096	10433.3239
1097	10426.87989
1098	10421.5076
1099	10415.2179
1100	10406.44507
1101	10404.02728
1102	10397.59665
1103	10392.28552
1104	10385.29149
1105	10375.77579
1106	10371.09134
1107	10370.2758
1108	10362.64931
1109	10354.73574
1110	10346.90984
1111	10342.9418
1112	10331.32304
1113	10323.55533
1114	10322.30545
1115	10321.43351
1116	10315.93122
1117	10313.50888
1118	10303.78328
1119	10294.78747
1120	10291.25726
1121	10284.12108
1122	10282.04379
1123	10275.73655
1124	10268.13433
1125	10261.47935
1126	10257.96883
1127	10251.63844
1128	10249.2033
1129	10248.49218
1130	10247.43884
1131	10240.81392
1132	10228.25234
1133	10221.25852
1134	10220.04236
1135	10215.75884
1136	10208.0306
1137	10200.28415
1138	10198.99117
1139	10194.41051
1140	10181.1598
1141	10172.87065
1142	10163.32696
1143	10161.63711
1144	10157.65224
1145	10152.96782
1146	10147.26508
1147	10138.94079
1148	10130.80537
1149	10124.21341
1150	10113.69774
1151	10109.29456
1152	10100.53764
1153	10092.73754
1154	10082.18544
1155	10073.46394
1156	10062.89435
1157	10058.40654
1158	10053.13944
1159	10049.44078
1160	10049.06709
1161	10046.84824
1162	10042.46933
1163	10039.32511
1164	10037.15757
1165	10032.81851
1166	10027.4828
1167	10026.16817
1168	10019.60624
1169	10009.37304
1170	10001.48524
1171	10001.20902
1172	10000.94456
1173	9997.031103
1174	9983.461662
1175	9978.831155
1176	9971.380336
1177	9963.054254
1178	9954.982851
1179	9948.455336
1180	9947.541202
1181	9944.378754
1182	9941.569706
1183	9936.10836
1184	9933.265342
1185	9928.9348
1186	9922.364602
1187	9914.496165
1188	9908.860992
1189	9897.294095
1190	9894.659116
1191	9888.638223
1192	9878.06625
1193	9869.157959
1194	9864.100088
1195	9855.704503
1196	9850.882053
1197	9850.105012
1198	9848.044238
1199	9841.107493
1200	9840.15533
1201	9834.400797
1202	9828.975249
1203	9827.996475
1204	9822.46832
1205	9818.015419
1206	9809.760212
1207	9807.914209
1208	9806.385498
1209	9804.000384
1210	9792.269952
1211	9791.644754
1212	9785.290884
1213	9778.396772
1214	9774.486165
1215	9774.300505
1216	9768.111328
1217	9762.272244
1218	9758.738535
1219	9753.01786
1220	9745.823483
1221	9739.135825
1222	9735.858793
1223	9734.424084
1224	9732.383834
1225	9729.603318
1226	9722.496888
1227	9712.388447
1228	9710.487667
1229	9701.183831
1230	9697.134733
1231	9683.711985
1232	9680.004722
1233	9675.272814
1234	9669.355556
1235	9666.701689
1236	9664.035397
1237	9654.208037
