iter	Passed	Remaining
1128	20135	51477
1129	20149	51450
1130	20163	51421
1131	20177	51394
1132	20190	51364
1133	20205	51338
1134	20221	51315
1135	20242	51304
1136	20257	51280
1137	20272	51253
1138	20284	51221
1139	20299	51195
1140	20311	51163
1141	20326	51138
1142	20339	51108
1143	20351	51076
1144	20368	51054
1145	20383	51030
1146	20406	51025
1147	20421	50999
1148	20433	50968
1149	20447	50940
1150	20458	50904
1151	20473	50880
1152	20486	50851
1153	20498	50818
1154	20514	50794
1155	20527	50765
1156	20540	50735
1157	20552	50703
1158	20566	50675
1159	20584	50658
1160	20598	50632
1161	20612	50603
1162	20627	50579
1163	20642	50555
1164	20657	50530
1165	20669	50498
1166	20682	50467
1167	20696	50440
1168	20710	50414
1169	20725	50389
1170	20739	50362
1171	20755	50340
1172	20769	50312
1173	20784	50287
1174	20797	50258
1175	20810	50230
1176	20825	50206
1177	20838	50174
1178	20851	50147
1179	20864	50117
1180	20877	50089
1181	20891	50062
1182	20904	50031
1183	20921	50012
1184	20934	49983
1185	20947	49955
1186	20961	49928
1187	20975	49901
1188	20991	49880
1189	21008	49860
1190	21022	49832
1191	21033	49798
1192	21047	49772
1193	21058	49739
1194	21072	49713
1195	21084	49682
1196	21098	49653
1197	21110	49622
1198	21124	49598
1199	21136	49567
1200	21150	49540
1201	21163	49512
1202	21176	49483
1203	21190	49455
1204	21203	49426
1205	21218	49404
1206	21233	49379
1207	21246	49352
1208	21260	49324
1209	21273	49296
1210	21285	49266
1211	21300	49241
1212	21316	49221
1213	21329	49191
1214	21341	49161
1215	21353	49130
1216	21365	49100
1217	21379	49073
1218	21392	49046
1219	21413	49035
1220	21428	49013
1221	21442	48987
1222	21455	48957
1223	21468	48929
1224	21481	48900
1225	21494	48873
1226	21508	48847
1227	21520	48817
1228	21533	48790
1229	21545	48759
1230	21557	48729
1231	21569	48697
1232	21582	48670
1233	21595	48642
1234	21609	48617
1235	21624	48592
1236	21640	48572
1237	21652	48542
1238	21668	48520
1239	21682	48494
1240	21697	48472
1241	21713	48452
1242	21726	48423
1243	21741	48399
1244	21754	48372
1245	21768	48346
1246	21782	48321
1247	21794	48291
1248	21810	48270
1249	21824	48244
1250	21837	48218
1251	21852	48195
1252	21867	48171
1253	21879	48142
1254	21893	48116
1255	21905	48086
1256	21917	48058
1257	21933	48036
1258	21945	48007
1259	21958	47978
1260	21971	47951
1261	21985	47926
1262	22001	47905
1263	22016	47882
1264	22032	47862
1265	22047	47839
1266	22060	47812
1267	22074	47787
1268	22087	47760
1269	22103	47738
1270	22117	47714
1271	22135	47697
1272	22149	47673
1273	22163	47647
1274	22176	47621
1275	22192	47600
1276	22209	47580
1277	22222	47554
1278	22237	47531
1279	22250	47505
1280	22263	47478
1281	22275	47447
1282	22287	47419
1283	22299	47390
1284	22312	47364
1285	22326	47339
1286	22341	47315
1287	22355	47291
1288	22368	47265
1289	22381	47237
1290	22394	47211
1291	22407	47184
1292	22424	47166
1293	22438	47141
1294	22451	47116
1295	22467	47095
1296	22482	47072
1297	22494	47044
1298	22509	47020
1299	22522	46995
1300	22535	46966
1301	22548	46941
1302	22561	46915
1303	22571	46882
1304	22584	46854
1305	22596	46827
1306	22610	46802
1307	22625	46781
1308	22640	46757
1309	22661	46748
1310	22676	46725
1311	22689	46698
1312	22702	46673
1313	22716	46647
1314	22729	46622
1315	22745	46601
1316	22757	46572
1317	22769	46545
1318	22779	46513
1319	22794	46491
1320	22807	46464
1321	22822	46442
1322	22834	46413
1323	22845	46384
1324	22859	46359
1325	22872	46334
1326	22883	46303
1327	22896	46276
1328	22909	46251
1329	22922	46225
1330	22935	46200
1331	22946	46170
1332	22957	46138
1333	22969	46111
1334	22983	46087
1335	22997	46063
1336	23010	46039
1337	23029	46023
1338	23042	45999
1339	23056	45975
1340	23070	45950
1341	23084	45928
1342	23096	45899
1343	23112	45879
1344	23125	45853
1345	23139	45829
1346	23153	45807
1347	23165	45779
1348	23179	45755
1349	23193	45730
1350	23204	45702
1351	23218	45678
1352	23234	45658
1353	23248	45634
1354	23260	45608
1355	23274	45584
1356	23291	45565
1357	23303	45538
1358	23315	45511
1359	23330	45488
1360	23342	45461
1361	23355	45436
1362	23371	45417
1363	23386	45395
1364	23398	45368
1365	23412	45344
1366	23424	45317
1367	23442	45301
1368	23457	45279
1369	23472	45258
1370	23484	45230
1371	23497	45206
1372	23508	45177
1373	23530	45168
1374	23544	45144
1375	23557	45120
1376	23570	45094
1377	23584	45072
1378	23598	45048
